year,location,driver,timestamp,avg_speed,max_speed,speed_variance,throttle_volatility,throttle_snaps,brake_switches,avg_rpm,max_rpm,transcript
2023,Sakhir,ALB,2023-03-05 15:16:20.877,160.52,244,2678.69,6.06,6,6,9220.8,11976,"OK, can we see back on Tarzan you can? Currently P11. They're OK, but the tyres are going, I'm managing a lot, but it's necessary..."
2023,Sakhir,ALB,2023-03-05 15:30:15.377,167.86,288,5521.74,4.0,3,5,9156.1,12224,Alarm.
2023,Sakhir,ALB,2023-03-05 15:52:37.931,210.86,297,2953.6,4.64,5,4,10417.9,12282,"I can't manage, it's just off me."
2023,Sakhir,ALO,2023-03-05 15:25:47.523,223.25,303,5699.19,3.21,4,3,10199.2,11729,"Fernando, how are the tyres feeling now? How are the tyres? They feel ok. I think we should keep going."
2023,Sakhir,ALO,2023-03-05 15:44:48.924,166.51,281,4552.07,4.39,3,6,9294.1,11640,"So we are happy with your management now, happy this is good? Yeah, they have more tech so let's think how to use it. Let's get closer, see what they do."
2023,Sakhir,ALO,2023-03-05 16:07:06.087,238.45,305,3656.93,2.59,2,2,10539.0,11855,"Yes, let's go!"
2023,Sakhir,ALO,2023-03-05 16:23:14.477,199.17,282,4176.18,4.33,4,4,9987.2,11835,"We are OK on fuel and all these things. Everything is great, everything is good."
2023,Sakhir,ALO,2023-03-05 16:26:01.004,185.41,281,3940.52,6.44,6,6,9583.5,11506,"I'm on level 7, avoiding all the curves. Just let me know if the situation changes behind."
2023,Sakhir,ALO,2023-03-05 16:29:54.906,221.2,292,2404.36,4.58,7,4,10156.5,11616,This is a lovely car to drive.
2023,Sakhir,ALO,2023-03-05 16:40:31.629,219.07,295,3329.91,4.62,3,4,10266.0,11953,"Yes, yes, yes, well done, that's P3. Yes, what you have done guys, what you have done. I'm so proud of you, this is amazing. That's for Jim's 60th birthday. Happy birthday! The 60s are the new 40s."
2023,Sakhir,ALO,2023-03-05 16:42:52.674,219.07,295,3329.91,4.62,3,4,10266.0,11953,"And by the way, Lance is my hero. Amazing performance. Well done everyone. Absolutely mate, absolutely."
2023,Sakhir,BOT,2023-03-05 15:15:11.487,212.42,282,2406.51,4.0,4,4,10456.9,12232,"Ok Valtteri, don't worry about the Aston's, we need to do our race."
2023,Sakhir,BOT,2023-03-05 15:35:17.372,192.8,276,4044.26,4.25,7,4,9922.0,12191,"They are too fast on the straights, I really can't give up. Copy, copy, don't worry."
2023,Sakhir,BOT,2023-03-05 16:20:27.776,194.46,275,4070.41,4.48,4,5,9982.6,11992,Gas leave 14 seconds behind. I expect him to drop off soon. I hope.
2023,Sakhir,BOT,2023-03-05 16:42:52.674,215.04,286,3317.04,4.63,5,4,10324.8,12040,"OK Valtteri, good job, good job. That's it, check the flag. That is P8 for us. Great job. Well Dan, I told you we're going to get points, so it's the beginning. Thank you. Thanks for the first one. Lots of work to do and let's go from here, get some more."
2023,Sakhir,DEV,2023-03-05 16:17:07.217,191.7,286,3398.29,5.4,6,6,10278.3,12666,"Why did we not double step? Ok Nick, keep the head down now please. Keep the head down. You focus on your race."
2023,Sakhir,DEV,2023-03-05 16:42:52.674,213.03,294,3479.99,4.33,4,4,10507.2,12756,"OK Nick, so I understand the frustration for the last int, but you should be pleased with the job today. The pace was where we would like it to be. We tried to split the cars, we tried something, it didn't work out, so we lost a couple of positions. We reviewed everything, but that's the decision we made, and the pace was definitely up there. So you should be pleased. Understood. But was there really no time to do a double stack? I mean the gap was pretty big. This is not the reason we will talk back in the office. There is many things to look at Nick."
2023,Sakhir,HAM,2023-03-05 15:18:01.187,169.01,283,4323.13,4.69,3,4,9185.1,12069,Just remember to drink.
2023,Sakhir,HAM,2023-03-05 15:54:18.257,124.62,251,3636.84,3.04,2,2,8817.4,11959,"Okay Lewis, so box, box, box, box. Tire and they're okay man, they've shorted my run. Undercut threat."
2023,Sakhir,HUL,2023-03-05 15:07:58.261,161.45,244,2538.69,7.0,8,8,9083.1,11876,"Possible, some contact on the front but I'm not sure. Understood, we'll check the data."
2023,Sakhir,HUL,2023-03-05 15:11:18.835,164.86,298,3238.68,8.01,10,7,9110.9,12160,"How does the car feel Nico? Yeah, pace is high. Sliding more than I would like. Yeah, copy that. We're looking at a few things. Just try and get into a rhythm and we'll try and help you."
2023,Sakhir,HUL,2023-03-05 15:16:53.032,203.13,284,2826.47,5.2,5,4,10226.7,12057,"We're kind of just hanging here. Not much going on. Don't know if you want to think Plan B. Yeah, copy that. We're looking at... It feels quite high rear and front as well."
2023,Sakhir,HUL,2023-03-05 15:21:21.778,170.4,286,4089.56,6.57,8,6,8978.2,11970,"Man, I'm losing the rears in the low speed, it's a joke. Okay, understood."
2023,Sakhir,HUL,2023-03-05 15:27:27.865,207.96,284,2493.5,4.68,6,4,10316.0,12276,"When I get very close in braking, the front just, it's like it has uplift."
2023,Sakhir,HUL,2023-03-05 15:37:32.354,205.54,291,2966.65,4.94,6,4,10148.1,12144,"Okay Nico, so we are missing some performance from the lap one, so it is making it very difficult for you, but just do the best you can and we'll try and keep this tyre alive and see what comes in the race."
2023,Sakhir,HUL,2023-03-05 15:50:22.605,206.33,305,6918.66,4.02,4,4,9729.8,12015,"Ok man, hopefully the performance is back. Let's just see how we can do on this tyre. Maybe get this race back to us somehow. What did you see? Was it significant? Yeah, it was a good chunk. It was big. Well, significant."
2023,Sakhir,HUL,2023-03-05 16:18:47.497,221.31,307,6487.99,3.22,3,3,10198.1,12360,"Yeah, it's great timing. I'm in the red bull now as well. Yeah, copy that. Not the luckiest day, but keep going, you're doing good."
2023,Sakhir,HUL,2023-03-05 16:42:52.674,211.69,293,3660.17,4.83,3,6,10364.8,12361,"Well, it's a shame about the damage. We still have some work to do on keeping the tyres alive. But you did some really good laps in there. I think you learned some stuff. So we'll talk about it when we get back."
2023,Sakhir,LEC,2023-03-05 15:42:32.645,179.91,282,3932.22,6.27,7,8,10109.7,12446,37.3 and Peres Lap Time behind 37.3. Information degradation on hard is lower than expected. Cap to Peres behind 1.4.
2023,Sakhir,LEC,2023-03-05 15:48:09.311,213.78,283,2290.81,4.51,5,4,10538.7,11931,And we are going plan A minus 3. Plan A minus 3. From there I think plan B could be... wait a second... I think plan B could be a solution also. Think about it. It didn't feel too bad. Understood.
2023,Sakhir,MAG,2023-03-05 15:35:51.215,207.43,281,1997.63,5.06,6,4,10555.9,11897,"OK, if your pace is very good, you're quicker than everybody ahead of you up to P9. So let's just look after the tyres and play the long game."
2023,Sakhir,MAG,2023-03-05 15:40:20.851,157.75,244,3176.81,7.19,8,6,9112.6,11868,"Nico has significant car damage, that's why he's in so much trouble."
2023,Sakhir,MAG,2023-03-05 16:42:52.674,209.74,292,3660.51,4.33,5,4,10340.5,12100,"OK Kev, that's the checkered flag. Very good race Kev, well done. Yeah, not as bad as I expected. Obviously not where we want to be but it's a tough track for us this one and let's just keep our heads down. We have a good car, let's have a good season. Yeah, copy that Kev. You did a very good job and it's what I call flying out. Make a big step forwards. Thank you."
